Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Z-score,Combined Score,Genes,Gene_set
Insulin signaling pathway_Homo sapiens_hsa04910,2/139,0.12038927592946057,0.4246272772711993,0.12719438283970472,0.4473247816321265,-1.083846868633326,2.294530722439628,FBP1;RHOQ,KEGG_2016
Cell adhesion molecules (CAMs)_Homo sapiens_hsa04514,2/142,0.12465643675987831,0.4246272772711993,0.1316337444789312,0.4473247816321265,-0.9795265614817528,2.0395641642825617,CLDN10;HLA-DRB3,KEGG_2016
Phagosome_Homo sapiens_hsa04145,2/154,0.14207279968326317,0.442004265681263,0.1497433446624161,0.4658681833941836,-0.8663820531967479,1.6906715225494515,HLA-DRB3;THBS4,KEGG_2016
PI3K-Akt signaling pathway_Homo sapiens_hsa04151,3/341,0.1812948249918099,0.44957361587131506,0.19134106914532525,0.4669198109562645,-0.9781178601104732,1.6702640915459377,COL1A1;PDGFD;THBS4,KEGG_2016
Influenza A_Homo sapiens_hsa05164,2/175,0.1736578568052267,0.44957361587131506,0.18255215107656245,0.4669198109562645,-0.9078608333959012,1.5893631416670948,TNFRSF10C;HLA-DRB3,KEGG_2016
Herpes simplex infection_Homo sapiens_hsa05168,2/185,0.18907918885494637,0.44957361587131506,0.1985575344128805,0.4669198109562645,-0.7284661438719257,1.2133254605556214,FOS;HLA-DRB3,KEGG_2016
Pentose phosphate pathway_Homo sapiens_hsa00030,1/29,0.11755306877763086,0.4246272772711993,0.12422766484060058,0.4473247816321265,0.047048780244234666,-0.10072510565189828,FBP1,KEGG_2016
AGE-RAGE signaling pathway in diabetic complications_Homo sapiens_hsa04933,1/101,0.35359597433585715,0.5077275528925126,0.3644993451758134,0.523383675124245,0.11209103989018164,-0.11652988240514332,COL1A1,KEGG_2016
Estrogen signaling pathway_Homo sapiens_hsa04915,1/99,0.3479726797487565,0.5077275528925126,0.35878410836899466,0.523383675124245,0.1606613928072187,-0.1695991963560553,FOS,KEGG_2016
Prostate cancer_Homo sapiens_hsa05215,1/89,0.319122761428634,0.4941250065741317,0.32945361667278333,0.510051241409398,0.14971799029821914,-0.1710048070471255,PDGFD,KEGG_2016
TGF-beta signaling pathway_Homo sapiens_hsa04350,1/84,0.3042282698200494,0.4941250065741317,0.3143056065117195,0.510051241409398,0.1556897106848969,-0.1852671704588943,LEFTY1,KEGG_2016
Melanogenesis_Homo sapiens_hsa04916,1/100,0.3507903446711872,0.5077275528925126,0.36164791655824957,0.523383675124245,0.17984785664560002,-0.188402597381193,WNT4,KEGG_2016
Melanoma_Homo sapiens_hsa05218,1/71,0.263978634965548,0.46577771174271604,0.27335458001051244,0.48212604673958465,0.15150193439126095,-0.2017834731424108,PDGFD,KEGG_2016
Metabolic pathways_Homo sapiens_hsa01100,6/1239,0.44323653891340453,0.5354225418936261,0.47595561768528133,0.5551547548689177,0.2482046974642611,-0.20195217492107267,ALPP;GLDC;ADH1B;SDHC;FBP1;UQCRH,KEGG_2016
B cell receptor signaling pathway_Homo sapiens_hsa04662,1/73,0.2703174219935409,0.46577771174271604,0.27980529498279477,0.48212604673958465,0.1576093015811999,-0.20617792760346668,FOS,KEGG_2016
Prolactin signaling pathway_Homo sapiens_hsa04917,1/72,0.26715480223370275,0.46577771174271604,0.2765868956954193,0.48212604673958465,0.15756520426269432,-0.20797456814595225,FOS,KEGG_2016
Cholinergic synapse_Homo sapiens_hsa04725,1/111,0.38100140493699924,0.5268167574437519,0.3923440343115517,0.5425003931221453,0.2231803754004001,-0.215358397891465,FOS,KEGG_2016
Circadian entrainment_Homo sapiens_hsa04713,1/95,0.3365806439974594,0.5077275528925126,0.3472040377672564,0.523383675124245,0.19940835791095385,-0.2171392512420738,FOS,KEGG_2016
Malaria_Homo sapiens_hsa05144,1/49,0.19055678120051897,0.44957361587131506,0.19860253637130854,0.4669198109562645,0.1329107662798263,-0.2203401415028756,THBS4,KEGG_2016
Amphetamine addiction_Homo sapiens_hsa05031,1/67,0.25113734055372733,0.465315612535511,0.260284986536378,0.48204793960354153,0.16453267201870775,-0.2273438942133173,FOS,KEGG_2016
Glyoxylate and dicarboxylate metabolism_Homo sapiens_hsa00630,1/28,0.11373679420457143,0.4246272772711993,0.12033868870974308,0.4473247816321265,0.1074023053706175,-0.2334784694403921,GLDC,KEGG_2016
Toll-like receptor signaling pathway_Homo sapiens_hsa04620,1/106,0.3674453646621854,0.5144235105270594,0.37857259816891164,0.5300016374364767,0.2456757125399961,-0.2459657668595293,FOS,KEGG_2016
Glucagon signaling pathway_Homo sapiens_hsa04922,1/101,0.35359597433585715,0.5077275528925126,0.3644993451758134,0.523383675124245,0.2404271080939233,-0.24994810165596146,FBP1,KEGG_2016
Gap junction_Homo sapiens_hsa04540,1/88,0.3161692941312086,0.4941250065741317,0.32645015794360127,0.510051241409398,0.21762909659030072,-0.2505950010900435,PDGFD,KEGG_2016
Hematopoietic cell lineage_Homo sapiens_hsa04640,1/88,0.3161692941312086,0.4941250065741317,0.32645015794360127,0.510051241409398,0.2303411091646691,-0.265232597141492,HLA-DRB3,KEGG_2016
Platelet activation_Homo sapiens_hsa04611,1/122,0.40982218158497447,0.5341472366151423,0.42160946994656817,0.5494202981739943,0.3003360918416951,-0.26790937969325473,COL1A1,KEGG_2016
T cell receptor signaling pathway_Homo sapiens_hsa04660,1/104,0.36194115880553435,0.513131769445821,0.3729798699139,0.5287815877260353,0.2769167781691774,-0.2814232180021893,FOS,KEGG_2016
Colorectal cancer_Homo sapiens_hsa05210,1/62,0.2347739510937272,0.46131021969293756,0.24362782652117743,0.47870730825213814,0.201295997695304,-0.2917044995130481,FOS,KEGG_2016
Salivary secretion_Homo sapiens_hsa04970,1/89,0.319122761428634,0.4941250065741317,0.32945361667278333,0.510051241409398,0.25921165613077324,-0.2960662185801193,DMBT1,KEGG_2016
Lysine degradation_Homo sapiens_hsa00310,1/52,0.20097970838347917,0.44957361587131506,0.20921768948733302,0.4669198109562645,0.18847952015007555,-0.30242506460926705,BBOX1,KEGG_2016
Thyroid hormone signaling pathway_Homo sapiens_hsa04919,1/118,0.39949870344881155,0.5326649379317487,0.411128890618961,0.5481718541586147,0.3388184466477199,-0.31088109004726644,WNT4,KEGG_2016
Lysosome_Homo sapiens_hsa04142,1/123,0.4123755215631799,0.5341472366151423,0.4242012748629708,0.5494202981739943,0.3607428995068117,-0.3195535943742553,NAPSA,KEGG_2016
Leukocyte transendothelial migration_Homo sapiens_hsa04670,1/118,0.39949870344881155,0.5326649379317487,0.411128890618961,0.5481718541586147,0.3505104180183725,-0.3216089971033103,CLDN10,KEGG_2016
Intestinal immune network for IgA production_Homo sapiens_hsa04672,1/48,0.18705269800478053,0.44957361587131506,0.19503360642183862,0.4669198109562645,0.1934686705813708,-0.32432408751252584,HLA-DRB3,KEGG_2016
MAPK signaling pathway_Homo sapiens_hsa04010,1/255,0.6690927400800969,0.6690927400800969,0.6835570828430786,0.6835570828430786,0.8282440853139065,-0.3328154771588316,FOS,KEGG_2016
Inflammatory bowel disease (IBD)_Homo sapiens_hsa05321,1/65,0.24463390600537244,0.46438978767121575,0.25366516803768335,0.4815338783088229,0.2422901370296785,-0.3411426829595429,HLA-DRB3,KEGG_2016
Type I diabetes mellitus_Homo sapiens_hsa04940,1/43,0.16930612957514196,0.44957361587131506,0.17695698829751214,0.4669198109562645,0.19370514999367375,-0.3440294089022219,HLA-DRB3,KEGG_2016
Osteoclast differentiation_Homo sapiens_hsa04380,1/132,0.4348697306265999,0.5354225418936261,0.44702728953324977,0.5551547548689177,0.41347268459373215,-0.344302327543469,FOS,KEGG_2016
Epstein-Barr virus infection_Homo sapiens_hsa05169,1/202,0.5830905208090603,0.6102965372883226,0.5970201399178775,0.6247907968729065,0.6455373587476891,-0.3482111383494132,HLA-DRB3,KEGG_2016
Toxoplasmosis_Homo sapiens_hsa05145,1/118,0.39949870344881155,0.5326649379317487,0.411128890618961,0.5481718541586147,0.3803625057977111,-0.34899962379689364,HLA-DRB3,KEGG_2016
Legionellosis_Homo sapiens_hsa05134,1/55,0.2112699637879047,0.44957361587131506,0.21969671383587003,0.4669198109562645,0.22745450201978346,-0.3536049799489787,CXCL1,KEGG_2016
Pathways in cancer_Homo sapiens_hsa05200,2/397,0.5116151641474964,0.573008983845196,0.5313393718463612,0.5951000964679242,0.5328677778734076,-0.3571186963574964,FOS;WNT4,KEGG_2016
AMPK signaling pathway_Homo sapiens_hsa04152,1/124,0.4149179427278336,0.5341472366151423,0.426781838760156,0.5494202981739943,0.4086676437367613,-0.3594945078956917,FBP1,KEGG_2016
Natural killer cell mediated cytotoxicity_Homo sapiens_hsa04650,1/135,0.44217699231531665,0.5354225418936261,0.45443947946034163,0.5551547548689177,0.4411867493746078,-0.3600282594032385,TNFRSF10C,KEGG_2016
Dopaminergic synapse_Homo sapiens_hsa04728,1/129,0.4274678741316818,0.5354225418936261,0.4395176860075536,0.5551547548689177,0.4286985635600277,-0.36434068113318463,FOS,KEGG_2016
Epithelial cell signaling in Helicobacter pylori infection_Homo sapiens_hsa05120,1/68,0.25436827361209474,0.465315612535511,0.2635735517749942,0.48204793960354153,0.2675440035517712,-0.3662602940258505,CXCL1,KEGG_2016
Hepatitis C_Homo sapiens_hsa05160,1/133,0.43731593573199135,0.5354225418936261,0.449508782582621,0.5551547548689177,0.44561113561830096,-0.3685646940079841,CLDN10,KEGG_2016
Measles_Homo sapiens_hsa05162,1/136,0.44459193210810033,0.5354225418936261,0.45688877361045477,0.5551547548689177,0.4626030295639877,-0.3749852867124736,TNFRSF10C,KEGG_2016
Calcium signaling pathway_Homo sapiens_hsa04020,1/180,0.5412126629756285,0.5885030898375767,0.5547294901528061,0.60320099900111,0.6132653170353913,-0.376509939337575,GNA14,KEGG_2016
Rap1 signaling pathway_Homo sapiens_hsa04015,1/211,0.5991123673393366,0.6153041125673201,0.6131765378225916,0.6296653630468817,0.7524151080983086,-0.3854668548088344,PDGFD,KEGG_2016
Hepatitis B_Homo sapiens_hsa05161,1/146,0.46818012364442163,0.5405791118368577,0.4808036716275446,0.5551547548689177,0.5105743439184542,-0.3874759813904316,FOS,KEGG_2016
Alcoholism_Homo sapiens_hsa05034,1/179,0.53921338701026,0.5885030898375767,0.5527084966218956,0.60320099900111,0.6289414700533921,-0.3884618574989204,HIST2H2BF,KEGG_2016
Regulation of actin cytoskeleton_Homo sapiens_hsa04810,1/214,0.6043165391286185,0.6153041125673201,0.6184213387067586,0.6296653630468817,0.7749175735906337,-0.3902927742126601,PDGFD,KEGG_2016
Proteoglycans in cancer_Homo sapiens_hsa05205,1/203,0.5849015226945512,0.6102965372883226,0.5988470448167618,0.6247907968729065,0.7302769367846252,-0.39165612619304335,WNT4,KEGG_2016
Ras signaling pathway_Homo sapiens_hsa04014,1/227,0.626107030483747,0.631747634361979,0.6403643677892255,0.646133416147687,0.8366237336895656,-0.3917356332160905,PDGFD,KEGG_2016
Viral carcinogenesis_Homo sapiens_hsa05203,1/205,0.5885002323851681,0.6102965372883226,0.6024768398417317,0.6247907968729065,0.7395428221239001,-0.3920893028470252,HIST2H2BF,KEGG_2016
Tuberculosis_Homo sapiens_hsa05152,1/178,0.5372055004901853,0.5885030898375767,0.5506786273986669,0.60320099900111,0.6318011244356752,-0.392585155307396,HLA-DRB3,KEGG_2016
Signaling pathways regulating pluripotency of stem cells_Homo sapiens_hsa04550,1/142,0.458866084904036,0.5405791118368577,0.4713625954835857,0.5551547548689177,0.5159346009892639,-0.4019114369797097,WNT4,KEGG_2016
Phospholipase D signaling pathway_Homo sapiens_hsa04072,1/144,0.4635430828069456,0.5405791118368577,0.47610371420072856,0.5551547548689177,0.5245367181408029,-0.40329317529675895,PDGFD,KEGG_2016
Retinol metabolism_Homo sapiens_hsa00830,1/65,0.24463390600537244,0.46438978767121575,0.25366516803768335,0.4815338783088229,0.2871587775906095,-0.4043173899837435,ADH1B,KEGG_2016
Basal cell carcinoma_Homo sapiens_hsa05217,1/55,0.2112699637879047,0.44957361587131506,0.21969671383587003,0.4669198109562645,0.2622475604593397,-0.4076949127603013,WNT4,KEGG_2016
cAMP signaling pathway_Homo sapiens_hsa04024,1/199,0.5776105290334933,0.6102965372883226,0.5914909855334648,0.6247907968729065,0.7436128098031562,-0.4081359527447546,FOS,KEGG_2016
Graft-versus-host disease_Homo sapiens_hsa05332,1/41,0.16210077004469625,0.44957361587131506,0.16961688265007574,0.4669198109562645,0.2254154895679462,-0.4101518461433792,HLA-DRB3,KEGG_2016
Tight junction_Homo sapiens_hsa04530,1/139,0.45177492348508214,0.5382850152162684,0.4641729771245426,0.5551547548689177,0.5171933201457213,-0.41094690670889866,CLDN10,KEGG_2016
Oxytocin signaling pathway_Homo sapiens_hsa04921,1/158,0.49518196770580974,0.5602058624550573,0.5081581843265636,0.5748860267128796,0.5902582469427251,-0.41485118743071947,FOS,KEGG_2016
Fatty acid degradation_Homo sapiens_hsa00071,1/44,0.17288580953392407,0.44957361587131506,0.18060345583437507,0.4669198109562645,0.2401887193722506,-0.421560976992762,ADH1B,KEGG_2016
Staphylococcus aureus infection_Homo sapiens_hsa05150,1/56,0.21467085541114603,0.44957361587131506,0.22315976349890349,0.4669198109562645,0.2750449479506235,-0.4231977245957059,HLA-DRB3,KEGG_2016
Hippo signaling pathway_Homo sapiens_hsa04390,1/153,0.48409995021397395,0.5532570859588273,0.4969343409138831,0.5679249610444379,0.5968291642684928,-0.4329780041192688,WNT4,KEGG_2016
Chemokine signaling pathway_Homo sapiens_hsa04062,1/187,0.5549695446071298,0.5976595095769085,0.5686310582183876,0.6123719088505712,0.7434837473958962,-0.4377944875071593,CXCL1,KEGG_2016
Tyrosine metabolism_Homo sapiens_hsa00350,1/35,0.14011200044568736,0.442004265681263,0.14721446282750494,0.4658681833941836,0.2270664434270773,-0.4462566724183379,ADH1B,KEGG_2016
Allograft rejection_Homo sapiens_hsa05330,1/38,0.15117675683779153,0.44957361587131506,0.15848781358070022,0.4669198109562645,0.2372280423507973,-0.4481962574254817,HLA-DRB3,KEGG_2016
NOD-like receptor signaling pathway_Homo sapiens_hsa04621,1/57,0.21805725262506317,0.44957361587131506,0.22660793751118483,0.4669198109562645,0.29781358022696514,-0.4535693750665847,CXCL1,KEGG_2016
Pertussis_Homo sapiens_hsa05133,1/75,0.2766022472969763,0.46938563177668696,0.2862005758364909,0.48567370444980223,0.3551931790313976,-0.4564852997591277,FOS,KEGG_2016
Glutathione metabolism_Homo sapiens_hsa00480,1/52,0.20097970838347917,0.44957361587131506,0.20921768948733302,0.4669198109562645,0.28585965161570004,-0.4586764840032727,GSTO2,KEGG_2016
Antigen processing and presentation_Homo sapiens_hsa04612,1/77,0.2828335649148513,0.4727964070218414,0.2925408831901982,0.4890235659298834,0.3663464465177112,-0.4626577052431875,HLA-DRB3,KEGG_2016
Autoimmune thyroid disease_Homo sapiens_hsa05320,1/53,0.2044244519795567,0.44957361587131506,0.2127257392307536,0.4669198109562645,0.2984592228389147,-0.4738209686592842,HLA-DRB3,KEGG_2016
PPAR signaling pathway_Homo sapiens_hsa03320,1/69,0.25758542836787224,0.465315612535511,0.2668479665662462,0.48204793960354153,0.3503041275880732,-0.475153868468725,FABP7,KEGG_2016
"Glycine, serine and threonine metabolism_Homo sapiens_hsa00260",1/40,0.15847496075505216,0.44957361587131506,0.16592311358399184,0.4669198109562645,0.2590028636870763,-0.4771243720493653,GLDC,KEGG_2016
Hedgehog signaling pathway_Homo sapiens_hsa04340,1/50,0.19404593546962084,0.44957361587131506,0.2021561512131759,0.4669198109562645,0.2971285343735397,-0.4871898817692986,WNT4,KEGG_2016
Protein digestion and absorption_Homo sapiens_hsa04974,1/90,0.322063620356354,0.4941250065741317,0.3324441127043396,0.510051241409398,0.4330191828212481,-0.4906134076867161,COL1A1,KEGG_2016
Viral myocarditis_Homo sapiens_hsa05416,1/59,0.22478680793565753,0.44957361587131506,0.23345990547813225,0.4669198109562645,0.3356396789685252,-0.5009767401411085,HLA-DRB3,KEGG_2016
Steroid hormone biosynthesis_Homo sapiens_hsa00140,1/58,0.22142921653609698,0.44957361587131506,0.2300412976635401,0.4669198109562645,0.4034534358987673,-0.6082675024878774,AKR1C2,KEGG_2016
Asthma_Homo sapiens_hsa05310,1/31,0.12513695807587885,0.4246272772711993,0.13195576327978922,0.4473247816321265,0.3088845788468503,-0.6419691762074278,HLA-DRB3,KEGG_2016
Citrate cycle (TCA cycle)_Homo sapiens_hsa00020,1/30,0.12135310062392086,0.4246272772711993,0.1281000000852996,0.4473247816321265,0.3244876395633028,-0.6843609145303295,SDHC,KEGG_2016
Fructose and mannose metabolism_Homo sapiens_hsa00051,1/32,0.1289047091716141,0.4246272772711993,0.1357950229954671,0.4473247816321265,0.4378127971078104,-0.8969391250808161,FBP1,KEGG_2016
Pantothenate and CoA biosynthesis_Homo sapiens_hsa00770,1/18,0.07466546276569107,0.3801150831707909,0.08051833426564425,0.40991151989782515,0.6757528547535919,-1.753401367295604,VNN1,KEGG_2016
Folate biosynthesis_Homo sapiens_hsa00790,1/14,0.058564518509030425,0.3452224248953374,0.0641065138062863,0.37789102875284575,0.752854723867755,-2.136320328369765,ALPP,KEGG_2016
